title,creator,editor,date,source,description,subject,language,location,latitude,longitude,format_original,format,youtubeid,copyright,filename,image_link,source_link,objectid,notes
"Oberon, Titania and Puck with Fairies Dancing","Blake, William",,1786,Tate,"At the end of A Midsummer Night’s Dream, fairy king Oberon and queen Titania make friends again, and Moth, Peaseblossom, Cobweb and Mustardseed dance in a ring, while Puck claps the beat.William Blake’s fairies dance on weightless tiptoes wearing petals, leaves and gauzy dresses. They look human, but are small compared to a tree trunk. The strange, silvery light from the fireflies transforms them into magical beings. Blake’s fairy features and dancing fairy rings helped define how we think of fairies today.",dancing; fairies,eng,"London, UK",51.528306382683546,-0.1249762835,painting,image/jpeg,,,https://upload.wikimedia.org/wikipedia/commons/1/12/Oberon%2C_Titania_and_Puck_with_Fairies_Dancing._William_Blake._c.1786.jpg,,"https://commons.wikimedia.org/wiki/File:Oberon,_Titania_and_Puck_with_Fairies_Dancing._William_Blake._c.1786.jpg",midsummer0001,
The Quarrel of Oberon and Titania,"Paton, Joseph Noel",,1849,Scottish National Gallery,"The Quarrel of Oberon and Titania is an oil on canvas painting by the Scottish artist Sir Joseph Noel Paton. Painted in 1849, it depicts the scene from William Shakespeare's comedy play A Midsummer Night's Dream, when the fairy queen Titania and fairy king Oberon quarrel",fairies,eng,"Edinburgh, UK",55.956951791209875,-3.189547752,painting,image/jpeg,,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Sir_Joseph_Noel_Paton_-_The_Quarrel_of_Oberon_and_Titania_-_Google_Art_Project_2.jpg/2560px-Sir_Joseph_Noel_Paton_-_The_Quarrel_of_Oberon_and_Titania_-_Google_Art_Project_2.jpg,,https://en.wikipedia.org/wiki/The_Quarrel_of_Oberon_and_Titania#/media/File:Sir_Joseph_Noel_Paton_-_The_Quarrel_of_Oberon_and_Titania_-_Google_Art_Project_2.jpg,midsummer0002,
Quice's House from A Midsummer Night's Dream (1935),"Dieterle, William",,1935,Warner Bros. Entertainment,A clip from the 1935 film version of A Midsummer Night's Dream,mechanicals; productions; film,eng,"Burbank, CA",37.158351152923714,-117.52251618316724,film,video/mp4,wRlM0Gi96rY,,https://youtu.be/wRlM0Gi96rY,https://m.media-amazon.com/images/M/MV5BNmM4NTI0ZTktMTY5ZC00ZDgyLWJjNjUtN2JhYjhkNDlmMDE2XkEyXkFqcGdeQXVyNTc2NzQ3Njk@._V1_.jpg,,midsummer0003,
The Story of Pyramus and Thisbe,"Ovid; Humphries, Rolfe",,1955-12-12,Indiana University Press,A translation of the Pyramus and Thisbe story from Ovid's The Metamorphoses,historical context; mythology,eng,"Bloomington, IN",39.17119322713818,-86.51685871067333,poem,application/pdf,,,https://iupress.org/9780253033598/metamorphoses/,"https://images-na.ssl-images-amazon.com/images/I/51zRAQ91ulL._SX326_BO1,204,203,200_.jpg",,midsummer0004,
Gender on Shakespeare’s Stage: A Brief History,"Garcia, Lucas",,2018-10-21,Writers Theatre,A dramaturgical essay on the history of gender on stage in the time of Shakespeare,historical context; gender,eng,"Glencoe, IL",42.135362198812615,-87.75950516269641,essay,text/html,,,https://www.writerstheatre.org/blog/gender-shakespeares-stage-history/,https://www.writerstheatre.org/blog/wp-content/uploads/Mary-Frith-Moll-Cutpurse-211x300.jpg,,midsummer0005,
"""A Midsummer Night's Dream Overature, Op. 21"" ","Mendelssohn, Felix",,1832,Internet Archive Identiter and Wikimedia Commons,Reduced orchestral score,historical context; music; faires; Oberon;Bottom; lovers,Eng,,,,score,application/pdf,,,https://archive.org/details/imslp-midsummer-nights-dream-overture-op21-mendelssohn-felix/mode/2up,https://ia600308.us.archive.org/20/items/imslp-midsummer-nights-dream-overture-op21-mendelssohn-felix/PMLP60228-Mendelssohn_-_Midsummer_Overture_ArrPf4hUnknown.pdf,,midsummer0006,
Felix Bartholody Mendelssohn,"Hoffmann, Rudolf",,1850,Eigenes Foto einer Originallithographie der ÖNB (Wien) accessed by Wikimedia Coomons,"Lithograph of Felix Mendelssohn, 1,660 × 2,500",historical context; music,eng,"Vienna, Austria",48.21018,16.36967,lithograph/jpeg,image/jpeg,,,https://upload.wikimedia.org/wikipedia/commons/c/c6/Felix_Mendelssohn-Bartholdy_Litho.jpg,,https://commons.wikimedia.org/wiki/File:Felix_Mendelssohn-Bartholdy_Litho.jpg,midsummer0007,
"""A Midsummer Night's Dream Overature Op. 21""","Mendelssohn, Felix",,2016-09-09,EuroArtsChannel; Gewandhaus Orchestra Leipzig,Recorded concert of the Overture,audio; music; faries; Oberon; Lovers; Bottom,,"Leipzig, Germany",51.34065,2.37438,video,video/mp4,wIcImOYivDA,,https://www.youtube.com/watch?v=wIcImOYivDA,,,midsummer0008,
Character Analysis of Helena and Demetrius,"Jamieson, Lee",,2020-08-28,Thought Co.,discusses the relationships of the four lovers,lovers,eng,,,,article,text/html,,,https://www.thoughtco.com/character-analysis-of-helena-and-demetrius-2984573,,,midsummer0009,
"Over Hill, Over Dale","Vaughan Williams, Ralph",,1951,Netherlands Chamber Choir; posted on YouTube,Puck's Act 2 opening soliloquy set to music,Fairies; music; productions,eng,"Utrecht, Netherlands",52.0907,5.1214,choral work,video/mp4,ESECsnlE8Ko,,https://www.youtube.com/watch?v=ESECsnlE8Ko,,,midsummer0010,
Pivotal and Puzzling: The Indian Boy in a Midsummer Night's Dream,"Fetters, Bronwen",,2016,Aletheia,Article on the symbolism of the Indian boy in Midsummer,Fairies; Indian boy; exoticism; colonialism,eng,"Huntington, IN",40.8989,85.4990,article,application/pdf,,,https://alphachihonor.org/wp-content/uploads/Aletheia/2016-V1-1/Pivotal-and-Puzzling-the-Indian-Boy-in-A-Midsummer-Nights-Dream.pdf,,,midsummer0011,
Robin Goodfellow,"Sparkes, Abigail",,2020-11,Historic UK,Background on the character of Robin Goodfellow,"Fairies, Puck, folklore",eng,"Budleigh Salterton, UK",50.63164315234584,-3.320297061367892,article,text/html,,,https://www.historic-uk.com/CultureUK/Robin-Goodfellow/,https://www.historic-uk.com/wp-content/uploads/2019/08/robin-goodfellow-3.jpg,,midsummer0012,
Shakespeare's Rheumatology,"Ehrlich, George E.",,1967-11-26,Annals of the Rheumatic Diseases,"What Shakespeare was referring to with ""rheumatic diseases""","Fairies, medicine",eng,"Philadelphia, PA",39.9812,75.1497,article,application/pdf,,,https://ard.bmj.com/content/annrheumdis/26/6/562.full.pdf,,,midsummer0013,
I Know a Bank Where the Wild Thyme Blows,"Ewer, Richard",,2020,"The Lorenz Corporation, YouTube","Musical setting of Oberon's soliloquy  ""I Know a Bank Where the Wild Thyme Blows...""","Fairies, music",eng,"Dayton, OH",39.7589,84.1916,choral work,video/mp4,C8eBcAKlo-Y,,https://youtu.be/C8eBcAKlo-Y,,,midsummer0014,
Scene from A Midsummer Night's Dream. Titania and Bottom,"Landseer, Edwin",,1851,National Gallery of Victoria,Painting of Titania and Bottom,Fairies; mechanicals; Bottom; Titania,eng,"Melbourne, Austalia",-37.781539029871865,144.95824039026638,painting,image/jpeg,,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Edwin_Landseer_-_Scene_from_A_Midsummer_Night%27s_Dream._Titania_and_Bottom_-_Google_Art_Project.jpg/1600px-Edwin_Landseer_-_Scene_from_A_Midsummer_Night%27s_Dream._Titania_and_Bottom_-_Google_Art_Project.jpg,,https://artsandculture.google.com/asset/scene-from-a-midsummer-night-s-dream-titania-and-bottom/qAFcRhWcRy2Zeg?hl=en,midsummer0015,
"Robin Goodfellow, His Mad Pranks and Merry Jests",Unknown,,1639,British Library,A collection of folktales about Robin Goodfellow (Puck),Faries; Puck; folklore,eng,"London, UK",51.53013974308563,-0.12760893907765236,quarto,text/html,,,https://www.bl.uk/collection-items/robin-goodfellow-his-mad-pranks-and-merry-jests-1639,https://www.bl.uk/britishlibrary/~/media/bl/global/dl%20shakespeare/shakespeare%20collection%20items/robin-goodfellow-his-mad-c_57_b_55_a2r.jpg,,midsummer0016,
Enter a rabble of plebeians! Social disorder in Shakespeare's England,"Healy, Jonathan",,2015-09-15,xford University Department for Continuing Education YouTube Channel,A lecture about Shakespeare's England's social order and disorder and the societal beliefs and reactions to both.,historical context; social order,eng,"Oxford, UK",51.7556644646742,-1.2544990733071506,lecture,video/mp4,P7wv6myzZmU,,https://youtu.be/P7wv6myzZmU?t=3,,,midsummer0017,
"Op. 64, Act 2: ""Flower of this Purple Dye""","Britten, Benjamin",,1960-06-11,City of London Sinfonia,"A setting of Oberon's speech from Act 3, scene 2 to music in Benjamin Britten's opera adaptation of the play.",fairies; Oberon; music; magic,eng,"London, UK",51.528306382683546,-0.1249762835,operatic work,video/mp4,hzDDr55KTFg,,https://www.youtube.com/watch?v=hzDDr55KTFg,https://www.picclickimg.com/d/l400/pict/174623361967_/Benjamin-Britten-A-Midsummer-Nights-Dream.jpg,,midsummer0018,
And There's the Humor of it:  Shakespeare and the Four Humors,"Paster, Gail Kearn; Brown, Theodore M.",,2012-01-30,U.S. National Library of Medicine,An exhibition of medical texts and artifacts that are related to Shakespeare's use of body humors in his plays.,historical context; medicine,eng,"Bethesda, MD",38.99610086967119,-77.0987303781158,exhibition,text/html,,,https://www.nlm.nih.gov/exhibition/shakespeare/introduction.html,https://www.nlm.nih.gov/exhibition/shakespeare/images/sidebar-intro.jpg,,midsummer0019,
The Hunt of Diana,"Camassei, Andrea",,1638-39,Galleria Nazionale d'Arte Antica,Oil on canvas depicting goddess Diana surrounded by nymphs during her hunt,fairies; folklore; mythology; historical context,eng; ital,"Rome, Italy",41.903649558638215,12.490195414511167,painting,image/jpeg,,,https://www.wga.hu/detail_s/c/camassei/2diana.jpg,,https://www.wga.hu/html_m/c/camassei/2diana.html,midsummer0020,
Venus and Cupid,"Petel, Jörg",,1625-34,Web Gallery of Art,"Ivory sculpture, 40 cm, depicting Venus and the infant Cupid",fairies; folklore; mythology; historical context,eng; germ,"Oxford, UK",51.75567031296935,-1.2603727018845694,sculture,image/jpeg,,,https://www.wga.hu/detail_s/p/petel/venus_cu.jpg,,https://www.wga.hu/html_m/p/petel/venus_cu.html,midsummer0021,
The Birth of Venus,"Botticelli, Sandro",,1485,Web Gallery of Art,"Tempera on canvas, 173 X 279, depicting Venus arriving on shore at Cyprus.",fairies; folklore; mythology; historical context,eng; ital,"Florence, Italy",43.76801026540146,11.25538589966884,painting,image/jpeg,,,https://www.wga.hu/detail_s/b/botticel/5allegor/29birth.jpg,,https://www.wga.hu/html_m/b/botticel/5allegor/29birth.html,midsummer0022,
Aeneas's Farewell to Dido in Carthago,"Lorrain, Claude",,1676,Web Gallery of Art,"Oil on canvas, 120 x 149, 2 cm, depicting Aeneas' exodus from Carthage and consequent betrayal of Dido, queen of Carthage","historical context, folklore; lovers",eng; germ,"Hamburg, Germany",53.55567041455635,10.002631628870875,painting,image/jpeg,,,https://www.wga.hu/detail_s/c/claude/3/09aeneas.jpg,,https://www.wga.hu/html_m/c/claude/3/09aeneas.html,midsummer0023,
The Procession of the Trojan Horse in Troy,"Tiepolo, Giovanni Domenico",,1773,Web Gallery of Art,"Oil on canvas, 39 x 67 cm, depicting the procession of the Trojan horse into Troy","historical context, folklore; lovers",eng,"London, UK",51.50910259547241,-0.1282882730587126,painting,image/jpeg,,,https://www.wga.hu//detail_s/t/tiepolo/giandome/1/trojan_ho.jpg,,https://www.wga.hu/html_m/t/tiepolo/giandome/1/trojan_ho.html,midsummer0024,
Marriage Morning of Theseus and Hippolyta,"Abbey, Edwin Austin",,1893,Yale University Art Gallery,"Pen and ink, composition board, 44 x 55.7 cm, depicting Marriage Morning of Theseus and Hippolyta (study for .1036) - Enter Theseus, from A Midsummer Night’s Dream",historical context; Theseus; Hippolyta; lovers,eng,"New Haven, CT, USA",41.308438334067326,-72.93100091865601,painting,image/jpeg,,,"https://images.collections.yale.edu/iiif/2/yuag:3d4b76c4-fa97-40ca-88fe-7b9e14459af4/full/!480,480/0/default.jpg",,https://artgallery.yale.edu/collections/objects/41297,midsummer0025,
Ryan McKinny as Theseus and Tamara Mumford as Hippolyta,"Sohl, Marty; Metropolitan Opera",,1996,Metropolitan Opera,"Ryan McKinny as Theseus, Tamara Mumford as Hippolyta from the 1996 production of Britten's Opera at the Metropolitan Opera",productions; costumes,eng,"New York, NY",40.82359208124341,-73.98070283307632,photograph,image/jpeg,,,https://shakespeare-navigators.com/dream/Thesus_Hippolyta_Met_1996.jpg,,https://www.bbc.co.uk/programmes/p01nm7zq/p01nm6vm,midsummer0026,
Roman Catholic Religious Dress,"Dickie, James; Pye, Michael E.",,2018-08-11,Encyclopedia Britannica,Article concerning religious dress of the Catholic Church,background information; religion,eng,"Chicago, IL",41.88825210781403,-87.6322473528984,article,text/html,,,https://i2.wp.com/thehistoryjar.com/wp-content/uploads/2016/01/augustinian-nun.jpg?resize=318%2C318&ssl=1,https://www.britannica.com/topic/religious-dress/Roman-Catholic-religious-dress,,midsummer0027,
The Lost Days in A Midsummer Night's Dream,"Paolucci, Anne",,1977,"Shakespeare Quarterly, vol. 28, no. 3",Scholarly article exploring the subject of time within the context of Shakespeare's Midsummer,fairies; folklore; historical context; background information,eng,"Washington, DC",38.88952950433009,-77.00280994596238,article,text/html,,,www.jstor.org/stable/2869081,,,midsummer0028,
"""Spleen in Shakespeare's Comedies."" The Renaissance of Emotion: Understanding Affect in Shakespeare and His Contemporaries","Wood, Nigel","Meek, Richard; Sullivan, Erin",2015,Manchester University Press,"Book chapter exploring the affect of emotion and defining the many uses of ""spleen"" in Shakespeare's works",background information; historical context; literary analysis,eng,"Manchester, UK",53.47497272560177,-2.233699421780709,book chapter,text/html,,,www.jstor.org/stable/j.ctt1729w4d.10,,,midsummer0029,
"""A Midsummer Night's Dream, Op. 61"" (1842)","Mendelssohn, Felix",,2020-02-18,PScoreLibrary,"Overtue to Op. 61 with score, video ",overture; fairies; music,eng,,,,incidental music,video/mp4,gwDezEi7JMY,,https://www.youtube.com/watch?v=gwDezEi7JMY,,,midsummer0030,
A Midsummer Night's Dream (First Quarto),"Shakespeare, William",,1600,Folger Shakespeare Library,A digital copy of A Midsummer Night's Dream as published in the First Quarto,script; historical context,eng,"Washington, DC",38.88967085308071,-77.00269875113618,quarto,text/html,,,https://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~106982~107244:-Midsummer-night-s-dream--A-midsomm?sort=call_number%2Cmpsortorder1%2Ccd_title%2Cimprint&qvq=q:midsommer;sort:call_number%2Cmpsortorder1%2Ccd_title%2Cimprint;lc:FOLGERCM1~6~6&mi=5&trs=377#,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/First_Quarto_Printing_of_A_Midsummer_Night%27s_Dream.jpg/800px-First_Quarto_Printing_of_A_Midsummer_Night%27s_Dream.jpg,,midsummer0031,
"""A Midsummer Night's Dream: Antigone Transformed."" Finding Freedom: Hegel's Philosophy and Emancipation of Women","MacDonald, Sara",,2008,McGill-Queen's University Press,A social and political comparison of Shakespeare's Midsummer and Sophocles' Antigone.,literary analysis; background information; folklore,eng,"Kingston, ON",44.2276060796035,-76.49507035756533,book chapter,text/html,,,www.jstor.org/stable/j.ctt7zxx7.8,,,midsummer0032,
The Myth of Venus in Early Modern Culture,"Belsey, Catherine",,2012,The University of Chicago Press,An exposition of the mythological history and reinvention of Venus.,folklore; mythology; historical context; fairies; lovers,eng,"Chicago, IL",41.78596867505711,-87.59021147112477,article,text/html,,,www.jstor.org/stable/43607524,,,midsummer0033,
"Bronzino and Apuleius: An Allegory with Venus and Cupid (London, National Gallery NG651)","Kilpatrick, Ross S.",,2010,University of Michigan Press,A study of the possible narrative influences on a famous painting of Venus and Cupid.,folklore; mythology; historical context; fairies; lovers,eng,"Ann Arbor, MI",42.27089763372926,-83.74677594412478,article,text/html,,,www.jstor.org/stable/41419695,,,midsummer0034,
The Dido-Aeneas Relationship: A Re-Examination,"Bryce, T.R.",,1974,The Johns Hopkins University Press,An examination of the relationship between Dido and Aeneas,folklore; mythology; historical context; fairies; lovers,eng,"Baltimore, MD",39.32122367715538,-76.6167840595428,article,text/html,,,www.jstor.org/stable/4348033,,,midsummer0035,
"George Balanchine's: ""A Midsummer Night's Dream"" excerpt",Pacific Northwest Ballet,,2019-04-12,Pacific Northwest Ballet,Excerpt of Balanchine's Dream ballet where Tatania wakes to see Bottom,ballet; dance; music; Bottom; Titania; Queen,eng,"Seattle, WA",47.6294753896797,-122.35254858903143,video,video/mp4,zamB1hQb0Pk,,https://www.youtube.com/watch?v=zamB1hQb0Pk,,,midsummer0036,
"""The Picture of Cupid."" Musicking Shakespeare: A Conflict of Theatres","Albright, Daniel",,2007,"Boydell & Brewer, University of Rochester Press",A study of Cupid's role in Shakespeare's writing,folklore; mythology; historical context; fairies; lovers,eng,"Rochester, NY",43.13723243743846,-77.61388974410153,book chapter,text/html,,,www.jstor.org/stable/10.7722/j.ctt14brrtt.28,,,midsummer0037,
Shakespeare Lexicon and Quotation Dictionary,"Schmidt, Alexander","Sarrazin, Gregor",1971,"Dover Publications, Inc.",A comprehensive dictionary of English words and phrases used in Shakespeare's works,historical context; background information,eng,"San Francisco, CA",37.78258234302773,-122.47157990186882,book,text/html,,,https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.03.0079,,https://archive.org/details/Shakespearelexic01schm_201303/page/n3/mode/2up,midsummer0038,
Queen Elizabeth I: The Goden Era--Royal British Documentary,"Lipscomb, Suzannah; Jones, Dan",,2021-03-21,British Documentary,A histoiral presentation of Queen Elizabeth's life,Queen Elizabeth; historical context; documentary,eng,"London, UK","51.53927313377856, ",-0.1264391101432793,video,video/mp4,7nAVliVHtlQ&t,,https://www.youtube.com/watch?v=7nAVliVHtlQ&t,,,midsummer0039,
Merriam Webster Definition of Misogyny,Merriam Webster,,2021-04-06,Merriam-Webster Dictionary,The definition of misogyny,definition; historical context,eng,"Springfield, MA",42.20056142946368,-72.60368566694825,website,text/html,,,https://www.merriam-webster.com/contact-us,,,midsummer0040,
The Women's Rights Flashback| NBC News,NBC News,,,NBC News,Historical reference and informatio about the Women's Rights Movement in the US,historical context; women; rights,eng,"Washington, DC",38.896176288218214,-77.00952284602364,video,video/mp4,g2CewziXoDg,,https://www.youtube.com/watch?v=g2CewziXoDg,,,midsummer0041,
Temporary Stage in a Village Square,"Hodges, C. Walter",,,Folger Shakespeare Library,A drawing of a temporary courtyard theater,historical context; architecture,eng,"Washington, DC",38.88967085308071,-77.00269875113618,drawing,image/jpeg,,,https://luna.folger.edu/MediaManager/srvr?mediafile=/Size4/FOLGERCM1-6-NA/1201/045862.jpg,,https://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~527555~138871:Temporary-stage-in-a-village-square?sort=call_number%2Cmpsortorder1%2Ccd_title%2Cimprint&qvq=q:rootfile%3D%2245862%22;sort:call_number%2Cmpsortorder1%2Ccd_title%2Cimprint;lc:FOLGERCM1~6~6&mi=0&trs=1,midsummer0042,
The Theatre: the first purpose-built public playhouse,"Hodges, C. Walter",,,Folger Shakespeare Library,A drawing of the first purpose-built theatre in England,historical context; architecture,eng,"Washington, DC",38.88967085308071,-77.00269875113618,drawing,image/jpeg,,,https://luna.folger.edu/MediaManager/srvr?mediafile=/Size4/FOLGERCM1-6-NA/1201/045895.jpg,,https://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~527753~138904:The-Theatre--the-first-purpose-buil?sort=call_number%2Cmpsortorder1%2Ccd_title%2Cimprint&qvq=q:hodges%20the%20theatre;sort:call_number%2Cmpsortorder1%2Ccd_title%2Cimprint;lc:FOLGERCM1~6~6&mi=30&trs=1954,midsummer0043,
Sketch view of London with Bankside and the theatres ca. 1595,"Hodges, C. Walter",,,Folger Shakespeare Library,A drawing of London with a view of theatres circa 1595,historical context; architecture,eng,"Washington, DC",38.88967085308071,-77.00269875113618,drawing,image/jpeg,,,https://luna.folger.edu/MediaManager/srvr?mediafile=/Size4/FOLGERCM1-6-NA/1201/045850.jpg,,https://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~527483~138859:Sketch-view-of-London-with-Bankside?sort=call_number%2Cmpsortorder1%2Ccd_title%2Cimprint&qvq=q:hodges%20walter%20london;sort:call_number%2Cmpsortorder1%2Ccd_title%2Cimprint;lc:FOLGERCM1~6~6&mi=4&trs=6,midsummer0044,
Savoy Theatre A Midsummer Night's Dream,Unknown,,1914,Wikimedia Commons,Play poster for A Midsummer Night's dream,poster; image; historical context;theatre,eng,"London, UK","51.53927313377856,",-0.1264391101432793,poster,image/jpeg,,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/A_Midsummer_Night%27s_Dream_at_the_Savoy_Theatre.png/800px-A_Midsummer_Night%27s_Dream_at_the_Savoy_Theatre.png,,https://commons.wikimedia.org/w/index.php?title=Special:Search&limit=500&offset=0&profile=default&search=%22A+midsummer+night%27s+dream%22&advancedSearch-current=%7B%7D&ns0=1&ns6=1&ns12=1&ns14=1&ns100=1&ns106=1#/media/File:A_Midsummer_Night%27s_Dream_at_the_Savoy_Theatre.png,midsummer0045,
